Basis density in accepting rows,Basis density in accepting rows from accept prob,Fraction of selected rows,Fraction of selected rows (rounded),Number of accepting rows,Number of ambiguous rows,Number of selected rows,Optimization dual bound,Optimization primal bound,Optimization termination status,"Probability of Basis-Accept, ESTIMATE",Rank of set of accepting rows,_iter,n,α
0.0,,5.1585327608634e-310,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1,6,0.5
0.264498,0.2775880123839009,0.30158730158730157,0.30158730158730157,19.0,0.0,19.0,30.0,30.0,OPTIMAL,0.000269,6.0,2,6,0.5
0.0,,4.6098526103889e-310,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3,6,0.5
0.0,,4.6098526103889e-310,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,4,6,0.5
0.0,,4.6098526103889e-310,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,5,6,0.5
0.0,,4.923703885726e-312,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,6,6,0.5
0.183472,0.19003308597285068,0.2698412698412698,0.2698412698412698,17.0,0.0,17.0,29.0,29.0,OPTIMAL,8.4e-05,6.0,7,6,0.5
0.0,,4.6098526103889e-310,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,8,6,0.5
0.0,,1.85927250285e-313,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,9,6,0.5
0.0,,4.923703885726e-312,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,10,6,0.5
0.0,,4.923703885726e-312,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,11,6,0.5
0.0,,1.85927250285e-313,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,12,6,0.5
0.0,,1.8529065159313e-311,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,13,6,0.5
0.0,0.0,0.7142857142857143,0.7142857142857143,31.0,0.0,45.0,0.0,0.0,,0.0,5.0,14,6,0.5
0.0,0.0,0.7142857142857143,0.7142857142857143,31.0,0.0,45.0,0.0,0.0,,0.0,5.0,15,6,0.5
0.0,,2.11155422487e-312,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,16,6,0.5
0.41117,0.0,1.0,1.0,63.0,0.0,63.0,0.0,0.0,,0.0,6.0,17,6,0.5
0.0,,2.11155422487e-312,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,18,6,0.5
0.411945,0.0,1.0,1.0,63.0,0.0,63.0,0.0,0.0,,0.0,6.0,19,6,0.5
0.0,,1.8529065159313e-311,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,20,6,0.5
0.221316,0.16474064676193373,0.220472440944882,0.2204724409448819,28.0,0.0,28.0,44.00000000000003,44.00000000000003,OPTIMAL,6e-06,7.0,1,7,0.5
0.223556,0.19656946053260604,0.30708661417322836,0.30708661417322836,39.0,0.0,39.0,60.0,60.0,OPTIMAL,9.3e-05,7.0,2,7,0.5
0.221337,0.3569380679841897,0.2204724409448819,0.2204724409448819,28.0,0.0,28.0,40.0,40.0,OPTIMAL,1.3e-05,7.0,3,7,0.5
0.223817,0.21981961177839815,0.30708661417322836,0.30708661417322836,39.0,0.0,39.0,58.0,58.0,OPTIMAL,0.000104,7.0,4,7,0.5
0.223333,0.21981961177839815,0.3070866141732284,0.30708661417322836,39.0,0.0,39.0,62.00000000000001,62.00000000000001,OPTIMAL,0.000104,7.0,5,7,0.5
0.133062,0.1369784576802508,0.25984251968503935,0.25984251968503935,33.0,0.0,33.0,53.0,53.0,OPTIMAL,1.8e-05,7.0,6,7,0.5
0.221486,0.4118516169048343,0.2204724409448819,0.2204724409448819,28.0,0.0,28.0,46.0,46.0,OPTIMAL,1.5e-05,7.0,7,7,0.5
0.223727,0.19656946053260604,0.30708661417322763,0.30708661417322836,39.0,0.0,39.0,54.000000000001386,54.000000000001386,OPTIMAL,9.3e-05,7.0,8,7,0.5
